,Period,Permit_Number,construction,Homes_Sold,Housing_Starts
1,01-01-2003,1808,423049,999,1853
2,02-01-2003,1854,422705,936,1629
3,03-01-2003,1757,418232,999,1726
4,04-01-2003,1803,425493,1012,1643
5,05-01-2003,1835,426270,1078,1751
6,06-01-2003,1875,436163,1193,1867
7,07-01-2003,1885,454040,1168,1897
8,08-01-2003,1966,458676,1206,1833
9,09-01-2003,1961,463954,1131,1939
10,10-01-2003,2012,475234,1144,1967
11,11-01-2003,1918,490441,1093,2083
12,12-01-2003,1987,508637,1129,2057
13,01-01-2004,1952,503659,1165,1911
14,02-01-2004,1966,505081,1159,1846
15,03-01-2004,2066,511829,1276,1998
16,04-01-2004,2070,517912,1186,2003
17,05-01-2004,2150,528180,1241,1981
18,06-01-2004,2020,533358,1180,1828
19,07-01-2004,2112,549031,1088,2002
20,08-01-2004,2056,557411,1175,2024
21,09-01-2004,2041,552375,1214,1905
22,10-01-2004,2097,556425,1305,2072
23,11-01-2004,2079,555944,1179,1782
24,12-01-2004,2082,571871,1242,2042
25,01-01-2005,2139,581168,1203,2144
26,02-01-2005,2114,594003,1319,2207
27,03-01-2005,2062,597200,1328,1864
28,04-01-2005,2150,603975,1260,2061
29,05-01-2005,2085,609170,1286,2025
30,06-01-2005,2178,622726,1274,2068
31,07-01-2005,2203,634572,1389,2054
32,08-01-2005,2219,639501,1255,2095
33,09-01-2005,2263,652748,1244,2151
34,10-01-2005,2170,664407,1336,2065
35,11-01-2005,2218,670757,1214,2147
36,12-01-2005,2120,676135,1239,1994
37,01-01-2006,2212,681263,1174,2273
38,02-01-2006,2141,684482,1061,2119
39,03-01-2006,2118,674457,1116,1969
40,04-01-2006,1998,656899,1123,1821
41,05-01-2006,1905,640049,1086,1942
42,06-01-2006,1867,621219,1074,1802
43,07-01-2006,1763,604020,965,1737
44,08-01-2006,1722,590189,1035,1650
45,09-01-2006,1655,579753,1016,1720
46,10-01-2006,1570,567752,941,1491
47,11-01-2006,1535,555299,1003,1570
48,12-01-2006,1638,551740,998,1649
49,01-01-2007,1626,544096,891,1409
50,02-01-2007,1598,538260,828,1480
51,03-01-2007,1596,534655,833,1495
52,04-01-2007,1470,530749,887,1490
53,05-01-2007,1493,521499,842,1415
54,06-01-2007,1407,513524,793,1448
55,07-01-2007,1361,503486,778,1354
56,08-01-2007,1321,488816,699,1330
57,09-01-2007,1261,472995,686,1183
58,10-01-2007,1192,455045,727,1264
59,11-01-2007,1224,439144,641,1197
60,12-01-2007,1149,423699,619,1037
61,01-01-2008,1094,409420,627,1084
62,02-01-2008,1014,393193,593,1103
63,03-01-2008,967,397469,535,1005
64,04-01-2008,1008,392801,536,1013
65,05-01-2008,995,389335,504,973
66,06-01-2008,1180,382000,487,1046
67,07-01-2008,921,372755,477,923
68,08-01-2008,858,360382,435,844
69,09-01-2008,797,348206,433,820
70,10-01-2008,736,336824,393,777
71,11-01-2008,626,320284,389,652
72,12-01-2008,554,301332,377,560
73,01-01-2009,545,291523,336,490
74,02-01-2009,558,276113,372,582
75,03-01-2009,513,262528,339,505
76,04-01-2009,521,251235,337,478
77,05-01-2009,556,244399,376,540
78,06-01-2009,601,245226,393,585
79,07-01-2009,595,252642,411,594
80,08-01-2009,616,258774,418,586
81,09-01-2009,609,262509,386,585
82,10-01-2009,583,263232,396,534
83,11-01-2009,623,263973,375,588
84,12-01-2009,664,264592,352,581
85,01-01-2010,636,263680,345,614
86,02-01-2010,650,263649,336,604
87,03-01-2010,687,263220,381,636
88,04-01-2010,637,264593,422,687
89,05-01-2010,575,263020,280,583
90,06-01-2010,587,261202,305,536
91,07-01-2010,579,254964,283,546
92,08-01-2010,580,249367,282,599
93,09-01-2010,563,249015,317,594
94,10-01-2010,558,247981,291,543
95,11-01-2010,560,248808,287,545
96,12-01-2010,632,248929,326,539
97,01-01-2011,576,250965,307,630
98,02-01-2011,542,249760,270,517
99,03-01-2011,583,251180,300,600
100,04-01-2011,581,253897,310,554
101,05-01-2011,618,254629,305,561
102,06-01-2011,636,256286,301,608
103,07-01-2011,621,257737,296,623
104,08-01-2011,647,259960,299,585
105,09-01-2011,610,258293,304,650
106,10-01-2011,671,260305,316,610
107,11-01-2011,706,254401,328,711
108,12-01-2011,697,255090,341,694
109,01-01-2012,712,259223,335,723
110,02-01-2012,738,254120,366,704
111,03-01-2012,806,258662,354,695
112,04-01-2012,732,265032,354,753
113,05-01-2012,796,269833,370,708
114,06-01-2012,794,275699,360,757
115,07-01-2012,849,279707,369,740
116,08-01-2012,840,285467,375,754
117,09-01-2012,930,292076,385,847
118,10-01-2012,887,300200,358,915
119,11-01-2012,917,302823,392,833
120,12-01-2012,941,305105,399,976
121,01-01-2013,940,309893,446,888
122,02-01-2013,980,314633,447,962
123,03-01-2013,936,318708,444,1010
124,04-01-2013,1012,322768,441,835
125,05-01-2013,1003,327919,428,930
126,06-01-2013,942,330608,470,839
127,07-01-2013,997,334273,375,880
128,08-01-2013,964,341543,381,917
129,09-01-2013,1004,345327,403,850
130,10-01-2013,1044,351749,444,925
131,11-01-2013,1029,358973,446,1100
132,12-01-2013,1005,366094,433,1002
133,01-01-2014,976,373352,443,888
134,02-01-2014,1039,368792,420,944
135,03-01-2014,1067,374228,405,970
136,04-01-2014,1090,380061,403,1043
137,05-01-2014,1018,381415,451,1007
138,06-01-2014,1010,377648,418,911
139,07-01-2014,1076,377696,402,1085
140,08-01-2014,1047,377992,456,984
141,09-01-2014,1077,387364,470,1023
142,10-01-2014,1094,391415,476,1074
143,11-01-2014,1059,396871,442,1001
144,12-01-2014,1072,406913,497,1073
145,01-01-2015,1049,412410,515,1085
146,02-01-2015,1127,417214,540,886
147,03-01-2015,1072,417610,480,960
148,04-01-2015,1166,423031,502,1190
149,05-01-2015,1272,430946,502,1079
150,06-01-2015,1379,439934,480,1205
151,07-01-2015,1140,446395,506,1146
152,08-01-2015,1165,446045,518,1130
153,09-01-2015,1144,454657,456,1224
154,10-01-2015,1160,454849,482,1058
155,11-01-2015,1244,453590,504,1172
156,12-01-2015,1211,459296,546,1146
157,01-01-2016,1171,462747,505,1092
158,02-01-2016,1172,468727,517,1225
159,03-01-2016,1118,475918,532,1111
160,04-01-2016,1160,474750,576,1163
161,05-01-2016,1205,475303,571,1148
162,06-01-2016,1208,480899,557,1203
163,07-01-2016,1198,483205,628,1239
164,08-01-2016,1201,487744,575,1171
165,09-01-2016,1303,489380,558,1068
166,10-01-2016,1254,503719,575,1313
167,11-01-2016,1230,511582,571,1140
168,12-01-2016,1248,519253,561,1252
169,01-01-2017,1296,517537,573,1190
170,02-01-2017,1237,538326,587,1271
171,03-01-2017,1273,534162,632,1190
172,04-01-2017,1239,539294,598,1146
173,05-01-2017,1205,543467,635,1157
174,06-01-2017,1353,543501,619,1249
175,07-01-2017,1254,548458,572,1206
176,08-01-2017,1336,548645,556,1159
177,09-01-2017,1277,551170,637,1181
178,10-01-2017,1360,544892,626,1257
179,11-01-2017,1295,569046,711,1273
180,12-01-2017,1312,571985,630,1177
181,01-01-2018,1311,577668,590,1299
182,02-01-2018,1331,583275,618,1277
183,03-01-2018,1381,578850,679,1318
184,04-01-2018,1365,580582,642,1276
185,05-01-2018,1331,583912,662,1357
186,06-01-2018,1338,575560,636,1192
187,07-01-2018,1333,566435,628,1208
188,08-01-2018,1293,556962,593,1288
189,09-01-2018,1320,556838,595,1250
190,10-01-2018,1280,542596,554,1221
191,11-01-2018,1334,544806,625,1181
192,12-01-2018,1320,524626,546,1095
193,01-01-2019,1254,523358,591,1232
194,02-01-2019,1302,522840,638,1128
195,03-01-2019,1291,523775,705,1195
196,04-01-2019,1298,529221,695,1267
197,05-01-2019,1338,534709,602,1307
198,06-01-2019,1301,546858,763,1228
199,07-01-2019,1347,559252,669,1245
200,08-01-2019,1528,566877,720,1367
201,09-01-2019,1491,571274,715,1300
202,10-01-2019,1538,575523,721,1332
203,11-01-2019,1522,587932,710,1346
204,12-01-2019,1461,594372,693,1551
205,01-01-2020,1500,608167,685,1572
206,02-01-2020,1440,618838,699,1565
207,03-01-2020,1348,626300,609,1267
208,04-01-2020,1050,604385,569,925
209,05-01-2020,1253,592258,696,1054
210,06-01-2020,1329,599178,936,1266
211,07-01-2020,1526,619700,1019,1529
212,08-01-2020,1564,650683,1029,1377
213,09-01-2020,1643,672246,988,1463
214,10-01-2020,1622,693884,1027,1537
215,11-01-2020,1713,712739,863,1545
216,12-01-2020,1760,734722,873,1663
217,01-01-2021,1866,758072,901,1602
218,02-01-2021,1700,752846,765,1422
219,03-01-2021,1731,767906,850,1700
220,04-01-2021,1714,776420,810,1484
221,05-01-2021,1680,788956,715,1600
222,06-01-2021,1644,801854,716,1661
223,07-01-2021,1618,816412,760,1593
224,08-01-2021,1837,822881,690,1576
225,09-01-2021,1636,828998,742,1560
226,10-01-2021,1727,838559,680,1572
227,11-01-2021,1775,862744,772,1712
228,12-01-2021,1948,891046,830,1787
229,01-01-2022,1898,922478,810,1669
230,02-01-2022,1817,941637,773,1771
231,03-01-2022,1877,959067,707,1713
232,04-01-2022,1795,975266,611,1803
233,05-01-2022,1708,979044,636,1543
234,06-01-2022,1701,965400,563,1561
235,07-01-2022,1658,939588,543,1371
236,08-01-2022,1586,917150,638,1505
237,09-01-2022,1588,900993,567,1463
238,10-01-2022,1555,887097,577,1432
239,11-01-2022,1402,874829,582,1427
240,12-01-2022,1409,863102,636,1357
241,01-01-2023,1354,865778,649,1340
242,02-01-2023,1482,857211,625,1436
243,03-01-2023,1437,856947,640,1380
244,04-01-2023,1417,834713,679,1348
245,05-01-2023,1496,864027,704,1583
246,06-01-2023,1441,876684,684,1398
247,07-01-2023,1443,889118,714,1452
